Date,NR4_membership,NR6_membership,NR7_membership,DOJI0.1_membership,Hook0.5_membership
1997-05-27,0.0,0.0,0.0,0.0,1.0
1997-05-28,0.0,0.0,0.0,0.0625,1.0
1997-05-29,0.0,0.0,0.0,0.6354103088378906,1.0
1997-05-30,0.41666666666666674,0.0,0.0,1.0,1.0
1997-06-02,0.9166666666666667,0.0,0.0,1.0,1.0
1997-06-03,1.0,0.0,0.0,0.4791698455810547,1.0
1997-06-04,0.75,0.16666666666666666,0.0,0.375,1.0
1997-06-05,0.11110941569010424,0.1333339436830331,0.0,0.0,1.0
1997-06-06,0.0,0.2708353598873903,0.0,0.0,1.0
1997-06-09,0.0,0.5789476220305497,0.0,0.0,1.0
1997-06-10,0.0,0.035087296615750344,0.0,-0.25,1.0
1997-06-11,0.0,0.0,0.0,0.4791698455810547,1.0
1997-06-12,0.0,0.0,0.0,0.0,1.0
1997-06-13,0.0,0.0,0.0,0.5833301544189453,1.0
1997-06-16,0.0,0.0,0.0,0.6875,1.0
1997-06-17,0.0,0.0,0.0,0.0625,1.0
1997-06-18,0.3250004577664658,0.0,0.0,0.8958396911621094,1.0
1997-06-19,0.8499990844670684,0.0,0.0,1.0,1.0
1997-06-20,0.75,0.0,0.0,0.9479198455810547,1.0
1997-06-23,0.19999816893413658,0.0,0.0,0.5833301544189453,1.0
1997-06-24,0.125,0.0,0.0,0.0,1.0
1997-06-25,0.0,0.0,0.0,0.84375,1.0
1997-06-26,0.0,0.0,0.0,0.8958396911621094,1.0
1997-06-27,0.0,0.0,0.13889058430989581,0.7395801544189453,1.0
1997-06-30,0.0,0.0,0.0,0.0,1.0
1997-07-01,0.0,0.0,0.0,0.7395801544189453,1.0
1997-07-02,0.0,0.0,0.0,0.0,1.0
1997-07-03,0.0,0.0,0.0,0.0,1.0
1997-07-07,0.0,0.0,0.0,0.0,1.0
1997-07-08,0.0,0.0,0.0,0.0,1.0
1997-07-09,0.0,0.0,0.0,0.0,1.0
1997-07-10,0.0,0.0,0.0,0.0,1.0
1997-07-11,0.0,0.0,0.0,-1.2916603088378906,1.0
1997-07-14,0.0,0.0,0.0,-0.875,1.0
1997-07-15,0.0,0.0,0.0,0.0,1.0
1997-07-16,0.0,0.0,0.0,-0.14583969116210938,1.0
1997-07-17,0.0,0.0,0.0,-0.25,1.0
1997-07-18,0.0,0.0,0.0,0.6875,1.0
1997-07-21,0.0,0.0,0.0,0.0,1.0
1997-07-22,0.17567674568218927,0.0,0.0,0.6875,1.0
1997-07-23,0.5833333333333333,0.0,0.0,0.0,1.0
1997-07-24,0.7,0.0,0.0,0.5833396911621094,1.0
1997-07-25,0.3999999999999999,0.2777777777777778,0.0,0.0,1.0
1997-07-28,0.0,0.28888956705729163,0.0,0.0,1.0
1997-07-29,0.0,0.019606681566452178,0.0,0.0,1.0
1997-07-30,0.0,0.0,0.0,0.4791698455810547,1.0
1997-07-31,0.0,0.0,0.0,0.5833301544189453,1.0
1997-08-01,0.0,0.0,0.0,0.0,1.0
1997-08-04,0.0,0.0,0.0,0.375,1.0
1997-08-05,0.0,0.0,0.0,-0.25,1.0
1997-08-06,0.0,0.0,0.0,0.0,1.0
1997-08-07,0.0,0.0,0.0,0.2708301544189453,1.0
1997-08-08,0.0,0.0,0.0,0.0,1.0
1997-08-11,0.0,0.0,0.0,0.0,1.0
1997-08-12,0.0,0.0,0.0,0.1666698455810547,1.0
1997-08-13,0.34210475593890033,0.0,0.0,0.6875,1.0
1997-08-14,0.6710523779694502,0.0,0.0,0.7916698455810547,1.0
1997-08-15,0.15999794921374333,0.0,0.0,0.7916603088378906,1.0
1997-08-18,0.3095245361328125,0.0,0.0,0.8958396911621094,1.0
1997-08-19,0.0,0.0,0.0,0.0,1.0
1997-08-20,0.0,0.0,0.0,0.7916698455810547,1.0
1997-08-21,0.0,0.0,0.0,0.7916603088378906,1.0
1997-08-22,0.0,0.0,0.0,0.0,1.0
1997-08-25,0.0,0.0,0.0,0.0,1.0
1997-08-26,0.0,0.0,0.0,0.0,1.0
1997-08-27,0.0,0.0,0.0,0.0,1.0
1997-08-28,0.0,0.0,0.0,0.0,1.0
1997-08-29,0.0,0.0,0.0,0.7395896911621094,1.0
1997-09-02,0.0,0.0,0.0,0.0,1.0
1997-09-03,0.0,0.0,0.0,0.8958301544189453,1.0
1997-09-04,0.0,0.0,0.0,0.0,1.0
1997-09-05,0.0,0.0,0.0,0.1666698455810547,1.0
1997-09-08,0.0,0.0,0.0,0.0,1.0
1997-09-09,0.0,0.0,0.0,0.0,1.0
1997-09-10,0.0,0.0,0.0,0.8958301544189453,1.0
1997-09-11,0.0,0.0,0.0,-0.7708301544189453,1.0
1997-09-12,0.0,0.0,0.0,0.0,1.0
1997-09-15,0.0,0.0,0.0,-4.729169845581055,1.0
1997-09-16,0.0,0.0,0.0,0.0,1.0
1997-09-17,0.0,0.0,0.0,0.4791698455810547,1.0
1997-09-18,0.0,0.0,0.0,-0.4583301544189453,1.0
1997-09-19,0.0,0.0,0.0,0.0,1.0
1997-09-22,0.0,0.0,0.0,0.0,1.0
1997-09-23,0.3285712790974462,0.0,0.0,0.0,1.0
1997-09-24,0.0,0.0,0.0,-1.7083301544189453,1.0
1997-09-25,0.0,0.0,0.0,-1.65625,1.0
1997-09-26,0.0,0.0,0.0,0.0,1.0
1997-09-29,0.0,0.0,0.0,-0.041660308837890625,1.0
1997-09-30,0.0,0.0,0.0,0.0,1.0
1997-10-01,0.0,0.0,0.0,-3.1666698455810547,1.0
1997-10-02,0.0,0.0,0.0,0.6875,1.0
1997-10-03,0.37037065294053817,0.0,0.0,0.3229198455810547,1.0
1997-10-06,0.3379626803927951,0.0,0.0,0.0,1.0
1997-10-07,0.8703706529405382,0.24691376862702544,0.0,0.7395896911621094,1.0
1997-10-08,1.0,0.5586417869285301,0.0,-0.40625,1.0
1997-10-09,0.22857277383375108,0.8333333333333333,0.16666666666666666,-1.5,1.0
1997-10-10,0.0,0.530864574291088,0.09876562047887738,0.0,1.0
1997-10-13,0.0,0.5701748257083497,0.2368414923750164,0.0,1.0
1997-10-14,0.0,0.4385957726695594,0.4385957726695594,0.1666698455810547,1.0
1997-10-15,0.0,0.16666626511926363,0.16666626511926363,0.53125,1.0
1997-10-16,0.0,0.0,0.0,-2.5416698455810547,1.0
1997-10-17,0.0,0.0,0.0,0.0,1.0
1997-10-20,0.0,0.0,0.0,0.0,1.0
1997-10-21,0.0,0.0,0.0,0.0,1.0
1997-10-22,0.0,0.0,0.0,0.0,1.0
1997-10-23,0.0,0.0,0.0,0.0,1.0
1997-10-24,0.0,0.0,0.0,0.0,1.0
1997-10-27,0.0,0.0,0.0,-4.3125,1.0
1997-10-28,0.0,0.0,0.0,0.0,1.0
1997-10-29,0.0,0.0,0.0,0.0,1.0
1997-10-30,0.0,0.0,0.0,0.1666698455810547,1.0
1997-10-31,0.0,0.0,0.0,-1.8125,1.0
1997-11-03,0.0,0.0,0.0,-0.4583301544189453,1.0
1997-11-04,0.0,0.0,0.0,0.5833301544189453,1.0
1997-11-05,0.24999951301705403,0.0,0.0,-0.04166984558105469,1.0
1997-11-06,0.7127657709427015,0.0,0.0,-1.5520896911621094,1.0
1997-11-07,0.5462968614366319,0.15957457169849915,0.0,0.0,1.0
1997-11-10,0.0,0.4255315418854032,0.0,-1.9166698455810547,1.0
1997-11-11,0.0,0.2941182806411917,0.0,-1.96875,1.0
1997-11-12,0.0,0.22807009090230115,0.0,0.9479103088378906,1.0
1997-11-13,0.0,0.2066663859047765,0.0,0.11458015441894531,1.0
1997-11-14,0.0,0.060000036621116117,0.0,0.0,1.0
1997-11-17,0.0,0.0,0.0,0.0,1.0
1997-11-18,0.0,0.0,0.0,0.0,1.0
1997-11-19,0.25609775159714987,0.0,0.0,0.0,1.0
1997-11-20,0.0,0.2733332967122172,0.0,0.0,1.0
1997-11-21,0.3548388525795696,0.5934958804960525,0.2733332967122172,0.375,1.0
1997-11-24,0.5499993133534444,0.520325094325438,0.520325094325438,-0.4583301544189453,1.0
1997-11-25,0.0,0.6989256838637973,0.4390247170236853,0.6354198455810547,1.0
1997-11-26,0.20535650058528487,0.8035710003901899,0.4892474864861406,0.0,1.0
1997-11-28,0.0,0.4166661217087265,0.4166661217087265,-0.4583301544189453,1.0
1997-12-01,0.0,0.05952357597040662,0.05952357597040662,0.0,1.0
1997-12-02,0.0,0.0,0.0,0.7395801544189453,1.0
1997-12-03,0.0,0.0,0.0,0.0,1.0
1997-12-04,0.0,0.0,0.0,0.0,1.0
1997-12-05,0.0,0.0,0.0,0.0,1.0
1997-12-08,0.0,0.0,0.0,0.0,1.0
1997-12-09,0.0,0.0,0.0,0.0,1.0
1997-12-10,0.0,0.0,0.0,0.2708396911621094,1.0
1997-12-11,0.0,0.0,0.0,0.0,1.0
1997-12-12,0.0,0.0,0.0,-0.041660308837890625,1.0
1997-12-15,0.0,0.0,0.0,1.0,1.0
1997-12-16,0.0,0.0,0.0,-0.875,1.0
1997-12-17,0.0,0.0,0.0,0.0,1.0
1997-12-18,0.0,0.0,0.0,0.375,1.0
1997-12-19,0.0,0.0,0.0,0.0,1.0
1997-12-22,0.0,0.0,0.0,0.0,1.0
1997-12-23,0.0,0.0,0.0,0.375,1.0
1997-12-24,0.1617645474863343,0.0,0.0,0.7916698455810547,1.0
1997-12-26,0.0,0.0,0.0,0.5833301544189453,1.0
1997-12-29,0.14179071845732127,0.0,0.0,0.0,1.0
1997-12-30,0.25,0.0,0.0,0.0,1.0
1997-12-31,0.0,0.14427813108359366,0.0,0.0,1.0
1998-01-02,0.0,0.0625,0.0,0.5833301544189453,1.0
1998-01-05,0.0,0.0,0.0,-0.3541698455810547,1.0
1998-01-06,0.0,0.0,0.0,0.0,1.0
1998-01-07,0.0,0.0,0.0,0.4791698455810547,1.0
1998-01-08,0.0,0.0,0.0,0.16666030883789062,1.0
1998-01-09,0.0,0.0,0.0,-3.0625,1.0
1998-01-12,0.0,0.0,0.0,0.0,1.0
1998-01-13,0.0,0.0,0.0,0.0,1.0
1998-01-14,0.0,0.0,0.0,0.0,1.0
1998-01-15,0.0,0.0,0.0,0.0,1.0
1998-01-16,0.0,0.0,0.0,-0.6666603088378906,1.0
1998-01-20,0.0,0.0,0.0,0.0,1.0
1998-01-21,0.0,0.0,0.0,0.0,1.0
1998-01-22,0.0,0.0,0.0,0.0,1.0
1998-01-23,0.0,0.0,0.0,-3.0625,1.0
1998-01-26,0.0,0.0,0.0,-0.6666698455810547,1.0
1998-01-27,0.0,0.0,0.0,0.3229198455810547,1.0
1998-01-28,0.0,0.0,0.0,0.0,1.0
1998-01-29,0.0,0.0,0.0,0.0,1.0
1998-01-30,0.14583396911621094,0.0,0.0,0.1666698455810547,1.0
1998-02-02,0.3499997711178149,0.0,0.0,0.0,1.0
1998-02-03,0.2115381229554667,0.0,0.0,0.6354198455810547,1.0
1998-02-04,0.7499991196842131,0.16666607978947537,0.0,1.0,1.0
1998-02-05,0.5576923754089067,0.0384615836059378,0.0,-0.7708301544189453,1.0
1998-02-06,0.23076950163562682,0.1538463344237512,0.0,0.7916698455810547,1.0
1998-02-09,0.6086951329705717,0.4358971650310398,0.10256383169770651,0.375,1.0
1998-02-10,0.0,0.0,0.0,0.0,1.0
1998-02-11,0.0,0.2078850858954973,0.0,1.0,1.0
1998-02-12,0.0,0.0,0.0,0.8958396911621094,1.0
1998-02-13,0.0,0.0,0.0,0.375,1.0
1998-02-17,0.34946269373739924,0.23297512915826615,0.0,0.2708301544189453,1.0
1998-02-18,0.742857591277917,0.0,0.0,0.2708396911621094,1.0
1998-02-19,0.785710548859839,0.18996372017809132,0.0,0.0,1.0
1998-02-20,0.5749997711188626,0.04999984741257505,0.0,0.0,1.0
1998-02-23,0.0,0.0,0.0,0.0,1.0
1998-02-24,0.0,0.0,0.0,0.8958301544189453,1.0
1998-02-25,0.0,0.0,0.0,0.0,1.0
1998-02-26,0.0,0.0,0.0,0.0,1.0
1998-02-27,0.0,0.0,0.0,0.0,1.0
1998-03-02,0.0,0.0,0.0,0.0,1.0
1998-03-03,0.0,0.0,0.0,-2.125,1.0
1998-03-04,0.0,0.0,0.0,0.0,1.0
1998-03-05,0.0,0.0,0.0,0.0,1.0
1998-03-06,0.0,0.0,0.0,0.0,1.0
1998-03-09,0.0,0.0,0.0,0.0,1.0
1998-03-10,0.0,0.0,0.0,-0.992192268371582,1.0
1998-03-11,0.0,0.0,0.0,-0.9791603088378906,1.0
